a_id_,ClusterID,val_CRBEC,val_FC011EC,val_FC01EC,val_FC021EC,val_FC022EC,val_FC02EC,val_FC031EC,val_FC032EC,val_FC041EC,val_FC042EC,val_FC043EC,val_FC044EC,val_FC045EC,val_FC04EC,val_FC052EC,val_FC053EC,val_FC054EC,val_FC055EC,val_FC056EC,val_FC05EC,val_FC063EC,val_FC06EC,val_FC071EC,val_FC072EC,val_FC07EC,val_FC091EC,val_FC096EC,val_FC10EC,val_FC121EC,val_FC123EC,val_FC125EC,val_FC126EC,val_FCTOTEC,val_HHPEDY000_001EC,val_HHPEDY001_002EC,val_HHPEDY002_005EC,val_HHPEDY005_007EC,val_HHPEDY007_010EC,val_HHPEDY010_020EC,val_HHPEDY020_035EC,val_HHPEDY035_070EC,val_HHPEDY070_100EC,val_HHPEDY100_150EC,val_HHPEDY150_200EC,val_HHPEDY200_250EC,val_PEDYEC,val_PEDYHHEC,val_RRBEC
Austria_AT1 - Ostösterreich,0,82002224000.0,7283321600.0,8223618000.0,1159717200.0,1379031200.0,2659826600.0,3789988000.0,885664060.0,4314637400.0,7521014800.0,887702600.0,2717613400.0,3202284000.0,18648720000.0,460762900.0,877016720.0,284638820.0,419500500.0,1463917400.0,5567601800.0,631581620.0,3443017600.0,2211924200.0,4541112800.0,9404005800.0,1561608600.0,1067677820.0,1022131780.0,2354547000.0,696759460.0,2099580600.0,1329378600.0,85456570000.0,9.996586,9.9718956,252.60404,1969.2552000000005,12803.874,187088.82,484662.38000000006,774525.2,240162.16,116166.6,26025.318000000003,6954.171799999999,95164592000.0,51314.822,29201736000.0
Austria_AT11 - Burgenland,0,6328024400.0,634105400.0,717628920.0,81796928.0,97262764.0,188767140.0,270366740.0,63180712.0,122757940.0,935678320.0,63967068.0,121437040.0,302054980.0,1546348800.0,37285550.0,70978550.0,23037366.0,33950484.0,118469760.0,450599640.0,52305760.0,285135800.0,314919060.0,471130180.0,895886740.0,74977208.0,45125388.0,29417420.0,174125380.0,77785490.0,218354120.0,75310812.0,6640455000.0,1.1e-10,1.075e-07,0.0037159999999999,0.3013458,13.476264,2460.1646,24206.514,69343.868,22625.494,8713.279,1240.3597,198.6507,7439394800.0,57729.064,2353648400.0
Austria_AT111 - Mittelburgenland,0,779339420.0,81762104.0,92531832.0,10168051.8,12090360.0,23465154.0,32767632.0,7657315.6,15127916.0,115305780.0,7883393.2,14965480.0,37224954.0,190563380.0,4643958.8,8841232.8,2869681.2,4228902.2,14756188.0,56128040.0,6375086.0,34752012.0,39206462.0,58656326.0,111534770.0,9089154.0,5468425.2,3315864.8,21297256.0,9514224.2,26706288.0,9211768.4,817838780.0,2.822e-12,5.4779999999999995e-09,0.0003452,0.03248,1.6276304,334.70268,3361.37,9098.5358,2645.9642,896.31634,107.388654,14.713704000000002,909183200.0,55219.986,293082520.0
Austria_AT112 - Nordburgenland,0,3517386200.0,342454520.0,387561640.0,45213958.0,53763618.0,104343380.0,150914080.0,35266384.0,68243670.0,520167400.0,35558968.0,67508220.0,167913240.0,859643540.0,20618316.0,39247452.0,12738126.0,18772986.0,65509736.0,249156680.0,29286280.0,159651580.0,174184200.0,260578980.0,495523420.0,42054496.0,25316882.0,17068280.0,97273768.0,43453284.0,121983780.0,42070172.0,3691081800.0,9.332e-11,8.162e-08,0.00238,0.1819377999999999,7.715702800000001,1319.4562,12765.08,37437.40800000001,12849.126,5214.933,790.1432199999999,132.94833599999998,4155815400.0,58893.72200000001,1299760600.0
Austria_AT113 - Südburgenland,0,2031298600.0,209888820.0,237535440.0,26414918.0,31408776.0,60958606.0,86685002.0,20257014.0,39386340.0,300205100.0,20524708.0,38963358.0,96916806.0,496141820.0,12023272.0,22889864.0,7429560.2,10948594.0,38203814.0,145314940.0,16644394.0,90732228.0,101528418.0,151894860.0,288828600.0,23833558.0,14340079.4,9033275.6,55554368.0,24817982.0,69664050.0,24028876.0,2131534400.0,1.388e-11,2.044e-08,0.0009914,0.0869636,4.13293279999998,806.0057200000001,8080.065799999999,22807.924000000003,7130.4014,2602.0298000000003,342.82778,50.988678,2374396000.0,56751.758,760805420.0
Austria_AT12 - Niederösterreich,0,36598546000.0,3238023600.0,3644685600.0,475592000.0,565520660.0,1089397400.0,1559840800.0,364511800.0,748137820.0,4839982400.0,416540180.0,757271260.0,1406982800.0,8171310600.0,225300600.0,428862280.0,139191180.0,205135100.0,715836300.0,2722570400.0,298293060.0,1626122800.0,1267146600.0,2864900400.0,4993732800.0,560902540.0,402181860.0,320410260.0,949658140.0,293695500.0,1068146660.0,744910120.0,38121910000.0,4.64e-06,0.0002954,0.6010942,20.711132,440.18594,28987.978000000003,164416.26,363333.26,122271.24,57161.08,11293.3264,2511.9408000000003,43193620000.0,57481.132000000005,13560178000.0
Austria_AT121 - Mostviertel-Eisenwurzen,0,5307770600.0,455473280.0,512676520.0,68833026.0,81846944.0,157668360.0,232543140.0,54341908.0,108060940.0,699080340.0,60168132.0,109382100.0,203231060.0,1180268600.0,32825624.0,62488400.0,20281604.0,29889492.0,104298816.0,396699520.0,42959002.0,234187100.0,184553980.0,417272100.0,727307860.0,80148480.0,57451274.0,50971486.0,136901240.0,42339496.0,153980820.0,107389900.0,5527790600.0,2.804e-08,4.049999999999999e-06,0.0189,0.8434800000000001,22.57846,2134.3398,15964.328,46178.17,19170.928,10222.021599999998,2260.1936,538.2542599999999,6252060200.0,64657.554,1954151000.0
Austria_AT122 - Niederösterreich-Süd,0,5557272600.0,500114500.0,562923860.0,72561236.0,86280912.0,166209000.0,242721860.0,56720526.0,113245260.0,732622220.0,63053262.0,114628920.0,212978200.0,1236890400.0,34362236.0,65411414.0,21230140.0,31287728.0,109179460.0,415255760.0,44686402.0,243603640.0,193204020.0,436823420.0,761399620.0,83803784.0,60079256.0,49592824.0,142741280.0,44145324.0,160549920.0,111968880.0,5787854600.0,3.53e-07,3.518e-05,0.0995105999999999,3.65038259999998,80.10412999999998,5273.5798,28690.905999999995,58468.35400000001,17778.636,7561.2343999999985,1330.083,267.32258,6510964599.999999,54460.83200000001,2069544400.0
Austria_AT123 - Sankt Pölten,0,3504731200.0,297446960.0,334803160.0,44668544.0,53114586.0,102318106.0,152695900.0,35682780.0,71291074.0,461207820.0,39693116.0,72161642.0,134074080.0,778656060.0,21349720.0,40640018.0,13190102.0,19439072.0,67833830.0,257996960.0,28937720.0,157752420.0,120101280.0,271539660.0,473309760.0,54194212.0,38855562.0,32970384.0,91611832.0,28332362.0,103042242.0,71860988.0,3649891000.0,6.004e-08,6.994e-06,0.0251,1.0169586000000002,24.80013,1999.1142,13144.29,33342.616,12443.38,6168.6176,1272.6408,288.62946,4189693800.0,60900.442,1285844400.0
Austria_AT124 - Waldviertel,0,4529164200.0,422558660.0,475628760.0,59136362.0,70316268.0,135456660.0,196516920.0,45923138.0,92179680.0,596334600.0,51327490.0,93308170.0,173368380.0,1006813560.0,28340116.0,53952548.0,17511710.0,25806442.0,90049376.0,342514180.0,36318476.0,197981200.0,159261540.0,360093780.0,627627880.0,67230034.0,48182280.0,37683284.0,116067500.0,35897128.0,130545000.0,91049946.0,4716840800.0,4.5700000000000006e-08,7.634e-06,0.03758,1.63784479999998,41.840386,3424.976,21354.304,47569.736,14970.116,6332.022,1083.02724,210.04898000000003,5301456400.0,55775.14200000001,1701658000.0
